city,lat,lng,country,iso2,admin_name,Regions,population,population_proper,cases,"(Upper tier) total cumulative confirmed covid cases per 100,000 population","(Lower tier) total cumulative confirmed covid cases per 100,000 population"
Narborough,52.5727,-1.2023,United Kingdom,GB,Leicestershire,,8448,8448,,10530.00,
Audley,53.053,-2.304,United Kingdom,GB,Staffordshire,,8437,8437,,10600.20,
Hornsea,53.9108,-0.1676,United Kingdom,GB,East Riding of Yorkshire,,8432,8432,,9728.70,9788.4
Haxby,54.016,-1.075,United Kingdom,GB,York,,8428,8428,,9867.20,9901.8
Welwyn,51.831,-0.215,United Kingdom,GB,Hertfordshire,,8425,8425,,10114.00,
Polesworth,52.6152,-1.6174,United Kingdom,GB,Warwickshire,,8423,8423,,9523.70,
Richmond,54.403,-1.737,United Kingdom,GB,North Yorkshire,,8413,8413,,8686.00,
Seaton,50.705,-3.078,United Kingdom,GB,Devon,,8413,8413,,6363.60,
Woodchurch,53.375,-3.084,United Kingdom,GB,Wirral,,8400,8400,,11869.50,11906.8
Marlborough,51.42,-1.73,United Kingdom,GB,Wiltshire,,8395,8395,,6775.20,6811.4
Annan,54.983,-3.266,United Kingdom,GB,Dumfries and Galloway,,8389,8389,,6221.60,6320
Yarm,54.505,-1.348,United Kingdom,GB,Stockton-on-Tees,,8384,8384,,13689.70,13742.9
Aveley,51.5018,0.2534,United Kingdom,GB,Thurrock,,8381,8381,,13098.50,13127.6
Peebles,55.65,-3.18,United Kingdom,GB,"Scottish Borders, The",,8376,8376,,,
Birtley,54.9,-1.577,United Kingdom,GB,Gateshead,,8367,8367,,12634.80,12696.7
Torpoint,50.376,-4.205,United Kingdom,GB,Cornwall,,8364,7717,,,
Coleford,51.791,-2.6162,United Kingdom,GB,Gloucestershire,,8359,8359,,7111.20,
Windermere,54.376,-2.907,United Kingdom,GB,Cumbria,,8359,8359,,9575.00,
Glascote,52.6245,-1.668,United Kingdom,GB,Staffordshire,,8344,8344,,10600.20,
Aughton,53.542,-2.912,United Kingdom,GB,Lancashire,,8342,8342,,12990.00,
Pocklington,53.9309,-0.7781,United Kingdom,GB,East Riding of Yorkshire,,8337,8337,,9728.70,9788.4
Harlington,53.481,-1.182,United Kingdom,GB,Doncaster,,8276,8276,,13001.60,13061
Buckie,57.676,-2.965,United Kingdom,GB,Moray,,8273,8273,,3312.10,3360.2
Tanfield,54.897,-1.703,United Kingdom,GB,Durham,,8270,8270,,,
Silsden,53.914,-1.937,United Kingdom,GB,Bradford,,8268,8268,,13715.90,13759.3
Paddock Wood,51.1756,0.3955,United Kingdom,GB,Kent,,8263,8263,,10120.00,
Hadleigh,52.044,0.961,United Kingdom,GB,Suffolk,,8253,8253,,6266.70,
Lanark,55.6749,-3.777,United Kingdom,GB,South Lanarkshire,,8253,8253,,11244.60,11364
Brecon,51.948,-3.391,United Kingdom,GB,Powys,,8250,8250,,5519.10,5603.2
Toton,52.907,-1.254,United Kingdom,GB,Derbyshire,,8238,8238,,9964.20,
Billingshurst,51.0226,-0.4508,United Kingdom,GB,West Sussex,,8232,8232,,8134.30,
Mountsorrel,52.7167,-1.15,United Kingdom,GB,Leicestershire,,8223,8223,,10530.00,
Radcliffe on Trent,52.947,-1.04,United Kingdom,GB,Nottinghamshire,,8205,8205,,11286.40,
Bramley,53.4253,-1.2648,United Kingdom,GB,Rotherham,,8194,8194,,12681.10,12746.4
Egremont,54.484,-3.5306,United Kingdom,GB,Cumbria,,8194,8194,,9575.00,
Brierfield,53.824,-2.235,United Kingdom,GB,Lancashire,,8193,8193,,12990.00,
Gowerton,51.648,-4.043,United Kingdom,GB,Swansea,,8183,8183,,10262.70,10364.5
Walmer,51.2043,1.3985,United Kingdom,GB,Kent,,8178,8178,,10120.00,
Heybridge,51.7417,0.6897,United Kingdom,GB,Essex,,8175,8175,,10744.20,
Goffs Oak,51.7109,-0.0825,United Kingdom,GB,Hertfordshire,,8172,8172,,10114.00,
Cam,51.7,-2.3667,United Kingdom,GB,Gloucestershire,,8152,8152,,7111.20,
Highworth,51.631,-1.712,United Kingdom,GB,Swindon,,8151,8151,,9049.70,9057.3
Shinfield,51.408,-0.947,United Kingdom,GB,Wokingham,,8136,8136,,8078.40,8110.6
Bucksburn,57.177,-2.175,United Kingdom,GB,Aberdeen City,,8131,8131,,6653.30,6757.2
Witley,51.15,-0.646,United Kingdom,GB,Surrey,,8130,8130,,9069.00,
Dalton in Furness,54.1544,-3.1814,United Kingdom,GB,Cumbria,,8125,8125,,9575.00,
Merstham,51.264,-0.153,United Kingdom,GB,Surrey,,8123,8123,,9069.00,
Wistaston,53.0821,-2.4747,United Kingdom,GB,Cheshire East,,8117,8117,,9307.20,9359.7
Alnwick,55.4134,-1.7069,United Kingdom,GB,Northumberland,,8116,8116,,9970.40,10031.8
Old Colwyn,53.291,-3.704,United Kingdom,GB,Conwy,,8113,8113,,6858.80,6941.7
Monifieth,56.481,-2.82,United Kingdom,GB,Angus,,8110,8110,,6619.80,6707
Ystradgynlais,51.781,-3.7511,United Kingdom,GB,Powys,,8092,8092,,5519.10,5603.2
Horden,54.764,-1.315,United Kingdom,GB,Durham,,8087,8087,,,
Brightlingsea,51.81,1.03,United Kingdom,GB,Essex,,8076,8076,,10744.20,
Totnes,50.432,-3.684,United Kingdom,GB,Devon,,8076,8076,,6363.60,
Caerleon,51.615,-2.959,United Kingdom,GB,Newport,,8061,8061,,9874.30,9940.7
Stornoway,58.209,-6.387,United Kingdom,GB,Eilean Siar,,8038,8038,,,
Warlingham,51.3095,-0.0574,United Kingdom,GB,Surrey,,8036,8036,,9069.00,
Merrow,51.2463,-0.5279,United Kingdom,GB,Surrey,,8036,8036,,9069.00,
Trumpington,52.174,0.109,United Kingdom,GB,Cambridgeshire,,8034,8034,,7381.60,
Wroughton,51.525,-1.792,United Kingdom,GB,Swindon,,8033,8033,,9049.70,9057.3
Radlett,51.685,-0.318,United Kingdom,GB,Hertfordshire,,8024,8024,,10114.00,
Bearsted,51.2738,0.5789,United Kingdom,GB,Kent,,8010,8010,,10120.00,
Exhall,52.47,-1.48,United Kingdom,GB,Coventry,,8006,8006,,10313.70,10367.5
Hawkinge,51.117,1.1638,United Kingdom,GB,Kent,,8002,8002,,10120.00,
Goring by Sea,50.8122,-0.4244,United Kingdom,GB,West Sussex,,7990,7990,,8134.30,
Loftus,54.5569,-0.8919,United Kingdom,GB,Redcar and Cleveland,,7988,7988,,13164.20,13234.9
Princes Risborough,51.724,-0.8344,United Kingdom,GB,Buckinghamshire,,7978,7978,,9111.80,
Seasalter,51.3456,0.9981,United Kingdom,GB,Kent,,7967,7967,,10120.00,
Newbold,53.2519,-1.4461,United Kingdom,GB,Derbyshire,,7962,7962,,9964.20,
Coppull,53.62,-2.661,United Kingdom,GB,Lancashire,,7959,7959,,12990.00,
Harworth,53.417,-1.075,United Kingdom,GB,Nottinghamshire,,7948,7948,,11286.40,
Willerby,53.7633,-0.4504,United Kingdom,GB,East Riding of Yorkshire,,7940,7940,,9728.70,9788.4
Denny,56.018,-3.907,United Kingdom,GB,Falkirk,,7934,7934,,8370.70,8484.1
Thurso,58.596,-3.521,United Kingdom,GB,Highland,,7933,7933,,4607.30,4728.8
Newport-On-Tay,56.4402,-2.941,United Kingdom,GB,Fife,,7922,4310,,7498.70,7629.7
Wadebridge,50.517,-4.835,United Kingdom,GB,Cornwall,,7900,7900,,,
Bollington,53.298,-2.093,United Kingdom,GB,Cheshire East,,7885,7095,,9307.20,9359.7
Binfield,51.432,-0.792,United Kingdom,GB,Bracknell Forest,,7880,7880,,9307.80,9344.8
Kinmel,53.31,-3.519,United Kingdom,GB,Denbighshire,,7864,7864,,8793.30,8866.8
Latchford,53.3796,-2.5645,United Kingdom,GB,Warrington,,7856,7856,,13299.10,13352.1
Sileby,52.731,-1.106,United Kingdom,GB,Leicestershire,,7835,7835,,10530.00,
